 recorded at 2023-02-19 10:12:30.529168.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
1,2030,3,3.0851013158309653e-06,0.0281522274017334,0.1936044692993164,0.19360755440063224,False
1,17,2,1.0027421918699975e-05,0.03897429399999999,0.22312045097351074,0.22313047839542943,False
1,19,2,0.0,0.043097703,4.019126892089844,4.019126892089844,True
1,21,2,0.0,0.028740374,4.718559503555298,4.718559503555298,True
1,18,2,0.0,0.097227175,5.387661457061768,5.387661457061768,True
1,2032,3,0.0,0.020842313766479492,5.7779481410980225,5.7779481410980225,True
1,20,2,0.0,0.04004912900000002,5.791873931884766,5.791873931884766,True
1,2901,4,0.0,5.635153293609619,5.796088695526123,5.796088695526123,False
2,23,2,1.0027421918699975e-05,0.016921295000000003,0.12621235847473145,0.12622238589665014,False
2,2033,3,3.1069720701860527e-06,0.021225929260253906,0.15294241905212402,0.1529455260241942,False
2,2903,4,0.0,2.1056244373321533,2.193955183029175,2.193955183029175,False
2,27,2,0.0,0.030112550999999987,4.5144360065460205,4.5144360065460205,True
2,25,2,0.0,0.028240404999999996,4.590940952301025,4.590940952301025,True
2,26,2,0.0,0.03540383999999999,5.0520453453063965,5.0520453453063965,True
2,28,2,0.0,0.02832949700000001,5.684325695037842,5.684325695037842,True
3,30,2,1.0027421918699975e-05,0.013920762000000003,0.3247568607330322,0.3247668881549509,False
3,33,2,0.0,0.029950352,4.472947835922241,4.472947835922241,True
3,32,2,0.0,0.03931844400000001,4.8828136920928955,4.8828136920928955,True
3,34,2,0.0,0.027946875999999995,5.068686485290527,5.068686485290527,True
3,35,2,0.0,0.02836073600000001,5.115787029266357,5.115787029266357,True
3,2905,4,0.0,1.2528560161590576,7.997520208358765,7.997520208358765,True
4,37,2,1.0027421918699975e-05,0.01460107799999999,0.20568418502807617,0.20569421244999486,False
4,2906,4,3.0851013158309653e-06,1.482668161392212,1.6710858345031738,1.6710889196044896,False
4,40,2,0.0,0.034839397999999994,3.9950990676879883,3.9950990676879883,True
4,41,2,0.0,0.027811985999999997,4.661745071411133,4.661745071411133,True
4,42,2,0.0,0.04370714099999999,4.6715943813323975,4.6715943813323975,True
4,39,2,0.0,0.03111906199999999,5.146918535232544,5.146918535232544,True
5,44,2,1.0027421918699975e-05,0.015859820999999996,0.22817754745483398,0.22818757487675267,False
