 recorded at 2023-02-08 21:12:10.333414.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 12500
"
1,1433,3,0.0,0.02101302146911621,0.18749427795410156,0.18749427795410156,False
1,1434,3,0.0,0.02394580841064453,0.18779635429382324,0.18779635429382324,False
1,13,2,0.0,0.043074483999999996,0.2144021987915039,0.2144021987915039,False
1,12,2,0.0,0.033964199000000014,0.22937440872192383,0.22937440872192383,False
1,14,2,4.92938953915486e-06,0.04933701799999998,0.23737287521362305,0.2373778046031622,False
1,2028,4,0.0,1.5721924304962158,1.7517657279968262,1.7517657279968262,False
1,16,2,0.0,0.02805075899999998,3.6611709594726562,3.6611709594726562,True
1,15,2,0.0,0.08414295900000002,4.334067344665527,4.334067344665527,True
1,2029,4,0.0,4.5163185596466064,4.6377480030059814,4.6377480030059814,False
2,17,2,0.0,0.015103833999999983,0.14523625373840332,0.14523625373840332,False
2,18,2,4.92938953915486e-06,0.014093029000000007,0.1620631217956543,0.16206805118519346,False
2,1435,3,0.0,0.023804187774658203,0.1930375099182129,0.1930375099182129,False
2,1436,3,0.0,0.021670103073120117,0.24294734001159668,0.24294734001159668,False
2,2030,4,0.0,1.3643321990966797,1.5514304637908936,1.5514304637908936,False
2,19,2,0.0,0.07335198199999998,3.234595537185669,3.234595537185669,True
2,2031,4,0.0,3.6830313205718994,3.9245283603668213,3.9245283603668213,False
2,20,2,0.0,0.024389455000000004,4.241955757141113,4.241955757141113,True
3,21,2,0.0,0.017416525999999988,0.16362595558166504,0.16362595558166504,False
3,22,2,4.92938953915486e-06,0.018553896000000014,0.16605138778686523,0.1660563171764044,False
3,1437,3,0.0,0.021375179290771484,0.2082958221435547,0.2082958221435547,False
3,1438,3,0.0,0.02489495277404785,0.21155667304992676,0.21155667304992676,False
3,2032,4,0.0,1.3117756843566895,1.4500811100006104,1.4500811100006104,False
3,2033,4,0.0,3.2377049922943115,3.3582096099853516,3.3582096099853516,False
3,24,2,0.0,0.021660657,4.214366436004639,4.214366436004639,True
3,23,2,0.0,0.039710424999999994,4.662989377975464,4.662989377975464,True
4,25,2,0.0,0.015561375000000016,0.28711915016174316,0.28711915016174316,False
4,26,2,4.92938953915486e-06,0.014614610000000028,0.28958678245544434,0.2895917118449835,False
4,1439,3,0.0,0.021433353424072266,0.2776832580566406,0.2776832580566406,False
