 recorded at 2023-01-30 10:42:57.109009.
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
 recorded at 2023-01-30 10:46:12.993213.
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 7500
"
0,0,0.0,0.053919315338134766,6.873660087585449,6.873660087585449
0,1,0.0,0.05208635330200195,7.843142032623291,7.843142032623291
0,6,0.0,0,8.024475812911987,8.024475812911987
0,7,0.0,0,8.034615993499756,8.034615993499756
0,10,0.0,0,8.021528482437134,8.021528482437134
0,16,0.0,0,8.10526180267334,8.10526180267334
0,3505,0.0,0,8.106576204299927,8.106576204299927
0,18,0.0,0,8.117608070373535,8.117608070373535
0,4,0.0,0,8.466248989105225,8.466248989105225
0,15,0.0,0,8.465251207351685,8.465251207351685
0,12,0.0,0,8.478516817092896,8.478516817092896
0,11,0.0,0,8.489215850830078,8.489215850830078
0,13,0.0,0,8.466594457626343,8.466594457626343
0,3,0.0,0,8.566458702087402,8.566458702087402
0,2333,0.0,0,8.541957378387451,8.541957378387451
0,17,0.0,0,8.650568723678589,8.650568723678589
0,8,0.0,0,8.688225030899048,8.688225030899048
0,5,0.0,0,8.713132619857788,8.713132619857788
0,9,0.0,0,8.694770097732544,8.694770097732544
0,2,0.0,0,8.719708919525146,8.719708919525146
0,14,0.0,0,8.819132089614868,8.819132089614868
1,20,0.0,0.048572946000000006,0.3227412700653076,0.3227412700653076
1,21,0.0,0.054790244000000016,0.369187593460083,0.369187593460083
1,19,0.0,0.03054692500000003,0.3704545497894287,0.3704545497894287
1,25,0.0,0.03028805399999998,0.3818802833557129,0.3818802833557129
1,22,0.0,0.038672125,0.3967092037200928,0.3967092037200928
1,24,0.0,0.04995912899999999,0.3968932628631592,0.3968932628631592
1,23,0.0,0.05226647699999998,0.40654778480529785,0.40654778480529785
1,26,0.0,0.0508642,0.3988361358642578,0.3988361358642578
1,2334,3.1069720701860527e-06,0.20183658599853516,0.5249300003051758,0.524933107277246
1,3506,3.1069720701860527e-06,2.829775810241699,3.140810251235962,3.140813358208032
1,2337,0.0,0.2014009952545166,5.249730110168457,5.249730110168457
1,2336,0.0,0.20191645622253418,5.297326326370239,5.297326326370239
1,3508,0.0,1.870189905166626,5.638127326965332,5.638127326965332
2,33,0.0,0.015312401000000003,0.23557496070861816,0.23557496070861816
2,29,0.0,0.023236984000000016,0.23771953582763672,0.23771953582763672
2,28,0.0,0.023897748999999968,0.2654423713684082,0.2654423713684082
2,34,0.0,0.026459332000000002,0.24902057647705078,0.24902057647705078
2,32,0.0,0.022765351000000045,0.24840426445007324,0.24840426445007324
2,31,0.0,0.02493572300000002,0.24950671195983887,0.24950671195983887
2,30,0.0,0.022273962000000036,0.34944725036621094,0.34944725036621094
2,27,0.0,0.025249222999999987,0.4103245735168457,0.4103245735168457
2,2338,3.643804680683175e-06,0.20122313499450684,0.5495240688323975,0.5495277126370781
2,2341,0.0,0.20116090774536133,3.628274917602539,3.628274917602539
2,3509,3.1069720701860527e-06,3.468261480331421,3.7537174224853516,3.753720529457422
2,2340,0.0,0.20276212692260742,4.091163158416748,4.091163158416748
2,3510,3.1069720701860527e-06,3.7845757007598877,4.131733179092407,4.131736286064477
2,3511,0.0,1.725466251373291,6.205177545547485,6.205177545547485
3,35,0.0,0.024258911999999966,0.08708858489990234,0.08708858489990234
3,41,0.0,0.013924170000000013,0.23436284065246582,0.23436284065246582
3,37,0.0,0.02267005600000005,0.256880521774292,0.256880521774292
3,42,0.0,0.027242383000000037,0.28939008712768555,0.28939008712768555
3,38,0.0,0.03235288000000003,0.31474876403808594,0.31474876403808594
3,36,0.0,0.03197804999999998,0.32291674613952637,0.32291674613952637
3,39,0.0,0.02800045000000001,0.32138609886169434,0.32138609886169434
3,40,0.0,0.04023865300000001,0.32001590728759766,0.32001590728759766
3,2342,3.643804680683175e-06,0.20114469528198242,0.46338915824890137,0.4633928020535821
3,2343,3.643804680683175e-06,0.20159554481506348,0.5296800136566162,0.5296836574612969
3,3514,0.0,3.835996627807617,4.086515426635742,4.086515426635742
3,3512,3.1069720701860527e-06,4.330243349075317,4.695927858352661,4.695930965324731
3,3513,3.1069720701860527e-06,4.379145622253418,4.732433557510376,4.732436664482446
4,46,0.0,0.03130128999999998,0.15790629386901855,0.15790629386901855
