 recorded at 2023-05-01 20:53:17.664834.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
0,14,2,0.0,0.06281092699999999,0.743027925491333,0.743027925491333,True
0,12,2,0.0,0.041568838999999996,1.7640810012817383,1.7640810012817383,True
0,7,1,0.0,0.03393054008483887,2.409925937652588,2.409925937652588,True
0,5,1,0.0,0.03322196006774902,2.7244601249694824,2.7244601249694824,True
0,6,1,0.0,0.03354310989379883,3.8611035346984863,3.8611035346984863,True
0,11,2,0.0,0.051767195000000016,3.946073055267334,3.946073055267334,True
0,2,1,0.0,0.04309511184692383,4.095529079437256,4.095529079437256,True
0,8,2,0.0,0.04456263199999999,4.078153848648071,4.078153848648071,True
0,13,2,0.0,0.05466443900000001,4.299137115478516,4.299137115478516,True
0,10,2,0.0,0.03211012099999999,4.3274171352386475,4.3274171352386475,True
0,4,1,0.0,0.06582355499267578,4.655408620834351,4.655408620834351,True
0,2029,3,0.0,0.02255535125732422,4.925284147262573,4.925284147262573,True
0,2899,4,0.0,2.7153806686401367,7.585134506225586,7.585134506225586,True
1,17,2,1.0027421918699975e-05,0.02152427999999998,0.43500185012817383,0.4350118775500925,False
1,2030,3,3.0851013158309653e-06,0.02172255516052246,0.5000081062316895,0.5000111913330053,False
1,15,2,0.0,0.033267673,0.5579769611358643,0.5579769611358643,False
1,16,2,0.0,0.03345166900000002,0.5552167892456055,0.5552167892456055,False
1,2900,4,3.0851013158309653e-06,3.8610730171203613,4.310849666595459,4.310852751696775,False
1,19,2,0.0,0.024820781,6.551950216293335,6.551950216293335,True
1,21,2,0.0,0.036167790000000005,6.553688049316406,6.553688049316406,True
1,20,2,0.0,0.044859597,7.375615119934082,7.375615119934082,True
1,18,2,0.0,0.055641086000000006,7.763138055801392,7.763138055801392,True
2,23,2,1.0027421918699975e-05,0.027426384000000026,0.3466458320617676,0.34665585948368627,False
2,22,2,0.0,0.014980593000000014,0.34314513206481934,0.34314513206481934,False
2,2033,3,3.1069720701860527e-06,0.021520137786865234,0.3321075439453125,0.3321106509173827,False
2,2902,4,3.0851013158309653e-06,3.4920597076416016,3.77980899810791,3.779812083209226,False
2,24,2,0.0,0.029964206999999993,4.458916902542114,4.458916902542114,True
2,26,2,0.0,0.02324296599999999,4.65021538734436,4.65021538734436,True
